transactionid,trade_time,total_price,house_id,agent_id
2.02E+11,20170112,410,800321,11302
2.02E+11,20160928,462,600322,10886
2.02E+11,20161113,438,100323,11302
2.02E+11,20160821,1000,200324,11034
2.02E+11,20160627,580,700325,12118
2.02E+11,20160902,515,700326,11034
2.02E+11,20160829,397,800327,10886
2.02E+11,20160626,340,200328,11380
2.02E+11,20160619,630,300329,11498
2.02E+11,20160706,388.8,300330,11498
2.02E+11,20160707,383,800331,10886
2.02E+11,20160719,280,800332,11498
2.02E+11,20160810,295,700333,11498
2.02E+11,20161005,555,700334,11034
2.02E+11,20160711,265.5,100335,11380
2.02E+11,20160711,185.5,200336,11066
2.02E+11,20160809,200,800337,11066
2.02E+11,20160920,184,700338,11380
2.02E+11,20161223,318,100339,11708
2.02E+11,20160706,920,100340,11302
2.02E+11,20160713,858,600341,11498
2.02E+11,20160730,850,800342,11498
2.02E+11,20160818,620,700343,11498
2.02E+11,20160823,516,800344,11498
2.02E+11,20160905,345,500345,10886
2.02E+11,20170116,420.5,200346,10455
2.02E+11,20160927,387,700347,11498
2.02E+11,20170105,696,200348,11498
2.02E+11,20160824,458,500349,11498
2.02E+11,20160831,386,600350,11498
2.02E+11,20160823,344,700351,11498
2.02E+11,20160824,370,200352,11498
2.02E+11,20160827,382,300353,11498
2.02E+11,20160827,405,100354,11498
2.02E+11,20160731,488,800355,11498
2.02E+11,20160807,435,400356,11498
2.02E+11,20160826,335,300357,11498
2.02E+11,20160830,326,600358,11498
2.02E+11,20160929,498,800359,11498
2.02E+11,20161014,360,400360,11498
2.02E+11,20160814,270,300361,11708
2.02E+11,20161212,349,700362,11498
2.02E+11,20161228,350,800363,11498
2.02E+11,20160815,585,700364,11498
2.02E+11,20160917,1230,100365,11498
2.02E+11,20160924,405,600366,11498
2.02E+11,20160926,366,900367,11498
2.02E+11,20160623,380,600368,11302
2.02E+11,20160815,263,100369,11986
2.02E+11,20160831,600,200370,11986
2.02E+11,20160912,563,100371,11034
2.02E+11,20160731,278,700372,11498
2.02E+11,20160731,265,500373,11498
2.02E+11,20160809,358,200374,11498
2.02E+11,20160816,409,300375,11498
2.02E+11,20160817,486,400376,11498
2.02E+11,20160911,509,900377,11498
2.02E+11,20160928,494,200378,11498
2.02E+11,20160929,410,200379,11498
2.02E+11,20160826,1200,200380,11034
2.02E+11,20160822,670,500381,11148
2.02E+11,20160920,585,700382,11148
2.02E+11,20160927,610,600383,11148
2.02E+11,20161007,518,400384,11148
2.02E+11,20161108,600,600385,10886
2.02E+11,20161120,409,800386,10886
2.02E+11,20161121,380,400387,10886
2.02E+11,20160811,700,100388,11148
2.02E+11,20160816,830,800389,11148
2.02E+11,20160919,540,700390,10886
2.02E+11,20160921,800,600391,10886
2.02E+11,20160927,510,400392,10886
2.02E+11,20161008,433,300393,11498
2.02E+11,20161123,305,100394,11498
2.02E+11,20160627,500,400395,11747
2.02E+11,20160708,598,800396,11380
2.02E+11,20160913,598,200397,11986
2.02E+11,20160625,214.8,500398,12118
2.02E+11,20160731,213,800399,11148
2.02E+11,20160817,219.5,500400,10886
2.02E+11,20160829,245,600401,10886
2.02E+11,20160925,279,600402,10886
2.02E+11,20161030,282.5,300403,10886
2.02E+11,20161127,283.5,600404,10886
2.02E+11,20161122,307.5,100405,11498
2.02E+11,20161214,713,400406,11498
2.02E+11,20160806,335,600407,11034
2.02E+11,20160815,340,300408,11034
2.02E+11,20160811,675,600409,12118
2.02E+11,20160713,276,500410,11747
2.02E+11,20160906,355,100411,11148
2.02E+11,20160907,317,500412,10886
2.02E+11,20160731,789.8,800413,11034
2.02E+11,20160620,283,800414,11302
2.02E+11,20160625,453,500415,11302
2.02E+11,20160803,280.5,300416,11380
2.02E+11,20160625,452,900417,11066
2.02E+11,20160718,179,900418,11498
2.02E+11,20160720,288,400419,11498
2.02E+11,20160720,170,600420,11498
2.02E+11,20160808,255,900421,11498
2.02E+11,20160814,202,400422,11498
2.02E+11,20160821,245,900423,11498
2.02E+11,20160627,416,500424,11302
2.02E+11,20160828,740,200425,11034
2.02E+11,20160828,829,400426,11148
2.02E+11,20161216,925,400427,10886
2.02E+11,20160717,568,900428,11380
2.02E+11,20160905,258,800429,10886
2.02E+11,20160921,299,300430,11034
2.02E+11,20160721,605,800431,11380
2.02E+11,20160826,330,600432,11708
2.02E+11,20160808,292,100433,11380
2.02E+11,20161106,702,700434,11034
2.02E+11,20160731,310,800435,10455
2.02E+11,20160919,290,400436,11498
2.02E+11,20160921,297,500437,11498
2.02E+11,20160822,656,800438,11034
2.02E+11,20160618,383,100439,11747
2.02E+11,20160627,254,900440,11747
2.02E+11,20160705,460,500441,12118
2.02E+11,20160706,380,100442,12118
2.02E+11,20160709,230,100443,11380
2.02E+11,20160729,548.5,400444,11380
