"r$house.id","r$square","house_type.id","buildingType","constructionTime","renovationCondition","floor","ladderRatio","as.character(r$cjxiaoqu)"
630298,139.23,3212,4,2005,4,6,0.5,"太桥东里"
930299,128,3212,4,2003,4,6,0.5,"太桥东里"
930300,197,5212,4,2003,4,6,0.5,"太桥东里"
430301,51.11,1111,3,2003,4,20,0.333,"太桥东里"
530302,135.82,3112,4,2003,4,7,0.5,"太桥东里"
630303,109,2111,4,2003,4,6,0.5,"太桥东里"
230304,100.97,2111,3,2005,4,11,0.2,"太桥东里"
830305,107.5,2211,4,2003,4,6,0.5,"太桥东里"
630306,41.83,1011,4,2003,4,7,0.333,"太桥东里"
830307,101,2111,1,2005,3,28,0.273,"保利百合"
330308,160.46,3112,4,2001,3,13,0.5,"太桥西里"
630309,159.8,3112,4,2001,4,13,0.5,"太桥西里"
930310,129.64,3212,4,2001,4,7,0.5,"太桥西里"
130311,186.69,4113,4,2001,4,6,0.5,"太桥西里"
630312,99.92,2111,1,2001,4,13,0.25,"太桥西里"
930313,132.17,2212,4,2001,4,13,0.5,"太桥西里"
330314,100.91,2111,1,2001,4,15,0.25,"太桥西里"
130315,155.96,4112,4,2001,4,13,0.5,"太桥西里"
330316,112.48,2111,4,2001,4,7,0.5,"太桥西里"
630317,147.95,3112,4,2001,4,13,0.5,"太桥西里"
330318,157.8,4212,4,2001,4,13,0.5,"太桥西里"
530319,121.4,3112,1,2001,1,13,0.25,"太桥西里"
530320,157.15,3112,4,2001,4,13,0.5,"太桥西里"
330321,129.64,3212,4,2001,4,7,0.5,"太桥西里"
530322,100.91,2111,1,2001,4,15,0.25,"太桥西里"
730323,184.64,4112,4,2001,4,13,0.5,"太桥西里"
330324,180.26,4212,1,2001,4,13,0.25,"太桥西里"
130325,125.59,3112,1,2001,4,15,0.25,"太桥西里"
330326,158.1,3112,4,2001,2,13,0.5,"太桥西里"
830327,148.95,3112,4,2001,3,13,0.5,"太桥西里"
730328,101.87,2111,1,2001,3,15,0.25,"太桥西里"
730329,159.17,3112,4,2001,4,13,0.333,"太桥西里"
930330,177.15,4112,4,2001,1,13,0.5,"太桥西里"
130331,158.33,3112,4,2001,4,13,0.5,"太桥西里"
430332,186.44,3212,4,2001,3,7,0.5,"太桥西里"
230333,121.4,3112,3,2001,3,13,0.25,"太桥西里"
930334,159.43,3112,4,2001,4,13,0.5,"太桥西里"
530335,121.4,3112,1,2001,4,13,0.25,"太桥西里"
130336,187.16,4112,4,2001,3,13,0.5,"太桥西里"
930337,265.14,4212,4,2001,1,13,0.5,"太桥西里"
330338,160,3112,4,2001,3,13,0.5,"太桥西里"
530339,121.4,3212,1,2001,1,13,0.25,"太桥西里"
530340,150,3112,4,2001,3,13,0.5,"太桥西里"
730341,160.39,3212,4,2001,3,13,0.5,"太桥西里"
830342,120.9,3112,1,2001,3,13,0.25,"太桥西里"
230343,160.21,3112,4,2001,4,13,0.5,"太桥西里"
630344,159.32,3112,4,2001,4,13,0.5,"太桥西里"
830345,99.92,2111,1,2001,3,13,0.25,"太桥西里"
930346,157.65,4112,4,2001,4,13,0.5,"太桥西里"
930347,99.92,2111,1,2001,3,13,0.25,"太桥西里"
930348,186.47,4112,4,2001,3,13,0.5,"太桥西里"
730349,73.5,2111,4,2014,4,24,0.5,"望园东里"
930350,100.4,2211,4,2003,1,6,0.5,"凤凰城一期"
130351,129.85,3211,4,2003,4,6,0.5,"凤凰城一期"
630352,238.52,3313,3,1998,4,8,0.2,"和泰园"
530353,86.19,2211,4,2002,3,6,0.5,"凤凰城二期"
330354,53.24,2111,4,1996,4,6,0.5,"凤凰城二期"
330355,295,4213,1,2001,4,28,0.4,"国展新座"
430356,62.15,2111,4,1984,3,6,0.333,"太阳国际公馆"
